HIP	RA2000	DE2000	Vmag	Name
2100	0.443714	-0.049444	6.16	
2101	0.444292	56.641111	6.58	
2135	0.451253	25.041944	6.66	
2142	0.452031	80.051944	6.53	
2159	0.454081	-25.546944	5.99	
2178	0.458617	16.025278	6.44	
2210	0.465475	-33.006944	4.86	
2213	0.466244	19.513889	6.40	
2219	0.467456	17.893056	5.01	
2224	0.470192	16.445000	6.05	
2225	0.470442	44.394444	5.18	
2235	0.472231	10.190278	6.05	
2237	0.472547	-20.334722	6.44	
2240	0.474006	-39.914722	5.42	
2256	0.478606	-50.532778	6.26	
2270	0.482408	36.899444	6.28	
2330	0.496942	-32.115833	6.59	
2337	0.497725	-14.863889	6.15	
2353	0.500653	-3.957222	5.72	
2355	0.502039	29.751667	5.20	
2358	0.502417	4.860000	6.52	
2377	0.505531	59.977500	5.94	
2381	0.506297	-23.787500	5.17	
2383	0.507214	-48.214444	5.67	
2388	0.507731	-40.939444	6.18	
2392	0.508131	-39.518333	6.60	
2422	0.515056	77.019444	6.18	
2440	0.517744	55.702778	6.57	
2472	0.523572	-48.803333	4.76	
2474	0.523667	66.519444	6.18	
2475	0.523781	33.581667	5.88	
2484	0.525711	-62.958056	4.36	
2487	0.525933	-62.965278	4.53	
2497	0.528114	52.839444	5.59	
2505	0.529533	54.522222	4.74	
2548	0.539931	6.955278	5.69	
2553	0.540775	43.494722	6.69	
2565	0.542936	27.580556	6.68	
2568	0.543167	20.294444	5.38	
2578	0.545497	-63.031389	5.07	
2583	0.546969	28.280000	6.26	
2599	0.549997	62.931667	4.17	
2611	0.552867	54.895000	5.93	
2628	0.555333	70.981667	6.41	
2629	0.556453	-71.266111	6.11	
2661	0.561406	-29.558056	5.55	
2663	0.562181	-35.000833	6.41	
2707	0.573581	66.750278	6.47	
2711	0.574339	-52.373056	5.57	
2734	0.582058	13.371111	6.39	
2753	0.586008	36.832222	6.58	
2762	0.587400	-3.592500	5.20	
2787	0.592431	-0.505278	5.94	
2789	0.592589	-54.821667	6.04	
2802	0.594758	-48.000556	5.51	
2832	0.598578	13.207500	6.32	
2846	0.600889	-14.972778	6.45	
2852	0.601917	-22.842222	6.06	
2854	0.602303	54.168333	5.08	
2865	0.605581	27.254722	6.51	
2876	0.607594	60.326111	5.78	
2889	0.610442	-65.124167	6.43	
2900	0.612908	44.488333	5.14	
2903	0.613142	15.231667	5.89	
2912	0.614678	33.719167	4.34	
2920	0.616186	53.896944	3.69	
2926	0.618667	24.014167	6.18	
2937	0.621717	-54.393611	6.40	
2941	0.622164	-24.767222	5.57	
2942	0.622564	35.399444	5.45	
2954	0.625122	3.135278	6.43	
2994	0.634603	-0.503333	6.64	
3031	0.642639	29.312222	4.34	
3056	0.646875	-25.107778	6.43	
3083	0.652747	49.354444	5.45	
3092	0.655444	30.861111	3.27	
